,商品名称,商品编号,商品毛重,商品产地,搭配主板,板型,处理器,店铺,M.2接口数量,RGB,适用CPU接口,质保期,是否支持PCIE4.0,INTEL芯片,Wi-Fi连接,SSD固态硬盘接口,适用场景,IDE接口,声道,DDR代数,内存插槽,内存标准,最大内存容量,PCI 插槽,PCI Express x16,PCI Express x1,接口,集成显卡,最大网络速度,平台类型,品牌,型号,板型大小,电源接口,适用游戏,AMD芯片,SATA,RAID支持,声卡特色,PCI Express x4,兼容系列,系统风扇插座,USB扩展接口,CPU风扇插座,RJ 45网络接口,USB,音频接口,HDMI接口,PS/2,游戏特色,货号,IEEE 1394扩展接口,LPT扩展接口,光纤接口,S/PDIF 同轴接口,ESATA,声卡类型,产品净重,产品尺寸（mm）,COM扩展接口,网卡类型,质保年限
93,华硕TUFGAMINGB550M-PLUS(WI-FI),100013699280,1.36kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,AMDAM4,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,AMDAM4,非集成显卡,2500M,AMD平台,华硕ASUS,TUFGAMINGB550M-PLUS(WI-FI),24.4cmx24.4cm,24+8,,B550,4个,,,,,,,,1个,8个,5x3.5mm接口,1个,1xPS/2键鼠接口,华硕TUF,,,,,1个,,S1200A,,,,,
94,华硕TUFGAMINGB560M-PLUSWIFI,100010397513,1.38kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,B560,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42133；DDR42200；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,INTELLGA1200,非集成显卡,2500M,Intel平台,华硕ASUS,TUFGAMINGB560M-PLUSWIFI,24.4cmx24.4cm,24+8,英雄联盟，魔兽世界，Apex英雄,,6个,,电竞音效,0个,,,,,1个,8个,5x3.5mm接口,1个,,华硕TUF,,,,,1个,,ALC887/897,,,,,
95,华硕TUFGAMINGB550M-PLUS(WI-FI),100013699280,1.36kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,AMDAM4,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,AMDAM4,非集成显卡,2500M,AMD平台,华硕ASUS,TUFGAMINGB550M-PLUS(WI-FI),24.4cmx24.4cm,24+8,,B550,4个,,,,,,,,1个,8个,5x3.5mm接口,1个,1xPS/2键鼠接口,华硕TUF,,,,,1个,,S1200A,,,,,
96,华硕华硕TUFGAMINGB560M-PLUSWIFI重炮手主板+英特尔(intel)i7-11700酷睿CPU处理器板U套装CPU主板套装,100010608607,2.0kg,中国大陆,B560,M-ATX（紧凑型）,Inteli7,,,,,,,,,,,,,,,,,,,,INTELLGA1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0kg,0,,,
97,英特尔i510400F/11400F/11600KF搭华硕B460M\/560M吹雪CPU主板套装PRIMEB560M-K【10代】i510400F6核12线程,10033591355555,1.5kg,中国大陆,B560,ATX（标准型）,Inteli5,图迈DIY电脑专营店,,,,,,,,,,,,,,,,,,,INTELLGA1200，INTELLGA2066，INTEL2011V3，INTEL1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15kg,24*24,,,
98,英特尔i711700/11900K十一代搭华硕B560/Z490/Z590CPU主板套装游戏套装PRIMEZ590-P性价超频大板(11代)i711700K8核16线程/核显,10028639002976,3.0kg,中国大陆,Z490,M-ATX（紧凑型）,Inteli7,嘉合数码专营店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3kg,244,,,
99,微星（MSI）Z490M\/B460M\/B560M系列游戏电脑主板支持10代intelCPUB460MPRO-VDHWIFI全国联保,10026274350861,2.1kg,,,M-ATX（紧凑型）,,奥都数码专营店,1个,RGB,intel其他,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr2内存插槽，4xddr3内存插槽,DDR42200；DDR43000；DDR43200；DDR42800；DDR43800；DDR42666；DDR43600；DDR42400；DDR43400,64GB,2个,2个,1个,INTEL其他,是集成显卡,其他,Intel平台,,Z490,,其他,英雄联盟，吃鸡游戏，DOTA2，武装突袭3,,,,,2个,,,,,,,,,,微星GAMING,,,,,,,,,,,,
100,华硕（ASUS）ROGMAXIMUSXIIHERO(WI-FI)玩家国度M12H电竞游戏主板MAXIMUSXIIHERO,69352538057,2.976kg,,,ATX（标准型）,,华硕(ASUS)华之硕专卖店,2个,ARGB,INTELLGA1200,3年质保,不支持PCIE4.0,Z490,WiFi6,M.2接口(NVMe协议),发烧/超频,无,7.1声道,DDR4,4xddr4内存插槽,DDR42133；DDR42400；DDR42666；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,3个,3个,INTEL其他,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,MAXIMUSXIIHERO(WIFI),30.5x24.4cm,24+12,,其他,,,,,,,,,,,,,,玩家国度ROG,,,,,,,,,,,,
101,华硕（ASUS）PRIMEZ490-P,68968327183,1.16kg,,,ATX（标准型）,,,2个,不是RGB,intel其他,3年质保,不支持PCIE4.0,,不支持,SATA接口,家用/办公,1个,其他,DDR4,其他,DDR44000及以上,其他,0个,2个,4个,INTEL其他,非集成显卡,其他,Intel平台,,PRIMEZ490-P,,24+12,梦幻西游2,,,,,0个,,,,,,,,,,,90MB12V0-M0CAY0,0组,,,,0组,,,,,,
102,华硕（ASUS）Z590,10020894609423,1.42kg,中国大陆,,ATX（标准型）,,新东海晨旭电脑配件专营店,3个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,Z590,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公,无,7.1声道,DDR4,4xddr4内存插槽,DDR42666；DDR44000及以上；DDR43400；DDR43600；DDR42400；DDR42133；DDR42200；DDR43000；DDR43200,128GB,0个,2个,2个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,PRIMEZ590-P,30.5cmx23.4cm,24+12,英雄联盟，坦克世界，守望先锋,,4个,,,,,,,,,,,,,,,,,,,,,,,,,
103,华硕TUFGAMINGB550M-PLUS(WI-FI),100013699280,1.36kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,AMDAM4,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,AMDAM4,非集成显卡,2500M,AMD平台,华硕ASUS,TUFGAMINGB550M-PLUS(WI-FI),24.4cmx24.4cm,24+8,,B550,4个,,,,,,,,1个,8个,5x3.5mm接口,1个,1xPS/2键鼠接口,华硕TUF,,,,,1个,,S1200A,,,,,
104,华硕（ASUS）TUFGAMINGB560M-PLUS,69884942435,1.32kg,,,M-ATX（紧凑型）,,华硕电脑配件专卖店,2个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,B560,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42133；DDR42400；DDR42666；DDR42800；DDR31666；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,TUFGAMINGB560M-PLUS,24.4cmx24.4cm,24+8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,华硕华硕TUFGAMINGB560M-PLUSWIFI重炮手主板+英特尔(intel)i7-11700酷睿CPU处理器板U套装CPU主板套装,100010608607,2.0kg,中国大陆,B560,M-ATX（紧凑型）,Inteli7,,,,,,,,,,,,,,,,,,,,INTELLGA1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0kg,0,,,
106,华硕TUFGAMINGB550M-PLUS(WI-FI),100013699280,1.36kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,AMDAM4,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,AMDAM4,非集成显卡,2500M,AMD平台,华硕ASUS,TUFGAMINGB550M-PLUS(WI-FI),24.4cmx24.4cm,24+8,,B550,4个,,,,,,,,1个,8个,5x3.5mm接口,1个,1xPS/2键鼠接口,华硕TUF,,,,,1个,,S1200A,,,,,
107,英特尔i510400F/11400F/11600KF搭华硕B460M\/560M吹雪CPU主板套装PRIMEB560M-K【10代】i510400F6核12线程,10033591355555,1.5kg,中国大陆,B560,ATX（标准型）,Inteli5,图迈DIY电脑专营店,,,,,,,,,,,,,,,,,,,INTELLGA1200，INTELLGA2066，INTEL2011V3，INTEL1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15kg,24*24,,,
108,华硕TUFGAMINGB550M-PLUS(WI-FI),100013699280,1.36kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,AMDAM4,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,AMDAM4,非集成显卡,2500M,AMD平台,华硕ASUS,TUFGAMINGB550M-PLUS(WI-FI),24.4cmx24.4cm,24+8,,B550,4个,,,,,,,,1个,8个,5x3.5mm接口,1个,1xPS/2键鼠接口,华硕TUF,,,,,1个,,S1200A,,,,,
109,微星（MSI）Z490M\/B460M\/B560M系列游戏电脑主板支持10代intelCPUZ490GAMINGPLUS电竞板全国联保,69030077957,2.1kg,,,M-ATX（紧凑型）,,奥都数码专营店,1个,RGB,INTELLGA1200,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42200；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR42133；DDR44000及以上,128GB,2个,2个,3个,INTELLGA1200,是集成显卡,其他,Intel平台,,Z490,,24+12,英雄联盟，吃鸡游戏，DOTA2，武装突袭3,,6个,,,2个,支持第十代英特尔?酷睿?处理器,,,,2个,,,1个,,微星GAMING,,,,,,,RealtekALC892,,,,,
110,华硕华硕TUFGAMINGB560M-PLUSWIFI重炮手主板+英特尔(intel)i7-11700酷睿CPU处理器板U套装CPU主板套装,100010608607,2.0kg,中国大陆,B560,M-ATX（紧凑型）,Inteli7,,,,,,,,,,,,,,,,,,,,INTELLGA1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0kg,0,,,
111,华硕TUFGAMINGB560M-PLUSWIFI,100010397513,1.38kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,B560,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42133；DDR42200；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,INTELLGA1200,非集成显卡,2500M,Intel平台,华硕ASUS,TUFGAMINGB560M-PLUSWIFI,24.4cmx24.4cm,24+8,英雄联盟，魔兽世界，Apex英雄,,6个,,电竞音效,0个,,,,,1个,8个,5x3.5mm接口,1个,,华硕TUF,,,,,1个,,ALC887/897,,,,,
112,技嘉（GIGABYTE）B560系列,10029023758660,2.0kg,,,M-ATX（紧凑型）,,技嘉旗舰店,1个,不是RGB,INTELLGA1200,3年质保,支持PCIE4.0,B560,不支持,M.2接口(NVMe协议),家用/办公,无,7.1声道,DDR4,其他,DDR42666；DDR42800；DDR42400；DDR43000；DDR43200；DDR42200；DDR42133,128GB,0个,1个,1个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,技嘉GIGABYTE,B560系列,,24+8,英雄联盟，吃鸡游戏，DOTA2,,6个,RAID0，RAID1，RAID5，RAID10,,0个,,,2组,,1个,6个,,1个,无,技嘉AORUS,,0组,,,,0组,,,,,,
113,微星（MSI）Z490M\/B460M\/B560M系列游戏电脑主板支持10代intelCPUZ490GAMINGPLUS电竞板全国联保,69030077957,2.1kg,,,M-ATX（紧凑型）,,奥都数码专营店,1个,RGB,INTELLGA1200,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42200；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR42133；DDR44000及以上,128GB,2个,2个,3个,INTELLGA1200,是集成显卡,其他,Intel平台,,Z490,,24+12,英雄联盟，吃鸡游戏，DOTA2，武装突袭3,,6个,,,2个,支持第十代英特尔?酷睿?处理器,,,,2个,,,1个,,微星GAMING,,,,,,,RealtekALC892,,,,,
114,华硕（ASUS）PRIMEB460M大师系列电竞游戏主板支持I510400PRIMEB460M-K,69844100947,0.8kg,,,M-ATX（紧凑型）,,华硕(ASUS)华之硕专卖店,1个,不是RGB,INTELLGA1200,3年质保,不支持PCIE4.0,B460,不支持WiFi,M.2接口(NVMe协议),家用/办公,无,7.1声道,DDR4,其他,DDR42133；DDR42400；DDR42666；DDR42800,64GB,0个,1个,2个,INTEL其他,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,PRIMEB460M,22.6x21.1cm,24+8,,其他,6个,RAID0，RAID1，RAID5，RAID10,,,,,,,,,,,,,,,,,,,RealtekALC887,,,,,
115,技嘉CPU主板套装,100013496990,2.5kg,中国大陆,B460,M-ATX（紧凑型）,Inteli5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2kg,1*1*1,,,
116,华硕（ASUS）ROGSTRIXZ490-HGAMING,68968398322,1.74kg,,,ATX（标准型）,,,0个,RGB,intel其他,3年质保,不支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频,无,其他,DDR4,其他,DDR44000及以上,其他,0个,3个,1个,INTEL其他,非集成显卡,其他,Intel平台,,ROGSTRIXZ490-HGAMING,,24+12,看门狗，刺客信条,,,,,0个,,,,,,,其他,,,玩家国度ROG,90MB12S0-M0CAY0,0组,其他,其他,其他,0组,,,,,,
117,技嘉（GIGABYTE）B560/Z490/Z590电竞游戏主板+i510600KFCPU处理器B560MAORUSELITE(信仰小雕)单主板（不含cpu）,10023176799480,1.0kg,,,ATX（标准型）,,技嘉旗舰店,1个,不是RGB,INTELLGA1200,3年质保,不支持PCIE4.0,,不支持,M.2接口(NVMe协议),发烧/超频，家用/办公，优选系列,无,其他,DDR4,其他,DDR42400；DDR42666；DDR42800,其他,0个,2个,1个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,,B560/Z490/Z590系列,,其他,战地5,,,,,0个,,,,,,,3x3.5mm接口,,,技嘉UD耐久,,0组,,,,0组,,,,,,
118,英特尔i711700/11900K十一代搭华硕B560/Z490/Z590CPU主板套装游戏套装PRIMEZ590-P性价超频大板(11代)i711700K8核16线程/核显,10028639002976,3.0kg,中国大陆,Z490,M-ATX（紧凑型）,Inteli7,嘉合数码专营店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3kg,244,,,
119,技嘉（GIGABYTE）B560系列,10024917086993,2.0kg,,,M-ATX（紧凑型）,,技嘉旗舰店,1个,不是RGB,INTELLGA1200,3年质保,支持PCIE4.0,B560,不支持,M.2接口(NVMe协议),家用/办公,无,其他,DDR4,4xddr4内存插槽,DDR42400；DDR42666；DDR42200；DDR42133；DDR42800；DDR43000；DDR43200,128GB,0个,2个,0个,INTELLGA1200,非集成显卡,其他,Intel平台,技嘉GIGABYTE,B560系列,,24+8,英雄联盟，吃鸡游戏，DOTA2,,6个,RAID0，RAID1，RAID5，RAID10,,0个,,,2组,,1个,8个,,1个,无,技嘉AORUS,,0组,,,,0组,,,,,,
120,技嘉（GIGABYTE）B460MAORUSELITE小雕主板+CPU套装电脑板u套装B560MAORUSELITE小雕三年质保中文盒装,47690411421,1.25kg,,,M-ATX（紧凑型）,,灵竞DIY旗舰店,2个,不是RGB,INTELLGA1200,3年以上质保,不支持PCIE4.0,B460,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42400；DDR42666；DDR42800；DDR43000,128GB,0个,1个,1个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,技嘉GIGABYTE,技嘉B460MAORUSELITE,24.4cmx24.4cm,24+8,英雄联盟，刺客信条，DOTA2,,6个,RAID0，RAID1，RAID5，RAID10,支持2/4/5.1/7.1声道,1个,,3组,6组,,1个,6个,3x3.5mm接口,1个,1xPS/2键鼠接口,技嘉AORUS,,0组,1组,1x光纤接口,1个,0组,RealtekALC1220-VB,,,1组,Intel网卡,
121,技嘉CPU主板套装,100013496990,2.5kg,中国大陆,B460,M-ATX（紧凑型）,Inteli5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2kg,1*1*1,,,
122,技嘉（GIGABYTE）B560系列,10029023758660,2.0kg,,,M-ATX（紧凑型）,,技嘉旗舰店,1个,不是RGB,INTELLGA1200,3年质保,支持PCIE4.0,B560,不支持,M.2接口(NVMe协议),家用/办公,无,7.1声道,DDR4,其他,DDR42666；DDR42800；DDR42400；DDR43000；DDR43200；DDR42200；DDR42133,128GB,0个,1个,1个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,技嘉GIGABYTE,B560系列,,24+8,英雄联盟，吃鸡游戏，DOTA2,,6个,RAID0，RAID1，RAID5，RAID10,,0个,,,2组,,1个,6个,,1个,无,技嘉AORUS,,0组,,,,0组,,,,,,
123,,10034823343437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,技嘉CPU主板套装,100013496990,2.5kg,中国大陆,B460,M-ATX（紧凑型）,Inteli5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2kg,1*1*1,,,
125,技嘉H410M/H510M耐久主板LGA1200支持I310100/I510400FH410MHV3【带HDMI】,57243896457,2.0kg,,,M-ATX（紧凑型）,,技嘉旗舰店,0个,不是RGB,INTELLGA1200,3年质保,不支持PCIE4.0,,不支持,SATA接口,家用/办公,无,其他,DDR4,其他,DDR42666；DDR42400,其他,0个,1个,1个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,技嘉GIGABYTE,H410/H510系列,,24+8,战地5,,,,,0个,,,,,,,,,,技嘉UD耐久,,0组,,,,0组,,,,,,
126,映泰映泰Z490GTN主板+英特尔i5-10400板U套装,100013163950,2.635kg,美国/德国/新加坡/台湾/中国大陆/马来西亚/越南,intel其他,MINI-ITX（迷你型）,Inteli5,,,,,,,,,,,,,,,,,,,,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9kg,320*280*80,,,
127,七彩虹H410M-TV20,100012989135,0.64kg,中国大陆,,M-ATX（紧凑型）,,,1个,不是RGB,INTELLGA1200,3年质保,不支持PCIE4.0,H410,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,家用/办公，优选系列,无,5.1声道,DDR4,其他,DDR42133；DDR42400；DDR42666；DDR42800,64GB,0个,1个,1个,INTELLGA1200,非集成显卡,10M/100M,Intel平台,七彩虹COlORFUL,H410M-TV20,180mm*220mm,24+8,英雄联盟，魔兽世界，DOTA2,,,,,0个,支持LGA1200十代赛扬/奔腾/i3/i5/i7酷睿处理器,,2组,,1个,6个,3x3.5mm接口,1个,1xPS/2键盘接口，1xPS/2鼠标接口,,,,,,,,,,,,,
128,技嘉A320M-S2H,100000449979,0.725kg,中国,,M-ATX（紧凑型）,,,1个,不是RGB,AMDAM4,3年质保,不支持PCIE4.0,,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频,无,其他,DDR4,其他,DDR42133；DDR42400；DDR42666；DDR43200,32GB,0个,1个,2个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,技嘉GIGABYTE,A320M-S2H,24.4cmx19.5cm,其他,,A320,,,,,,,,,,,,1个,,技嘉UD耐久,,,,,,,RealtekALC887,,,,,
129,技嘉（GIGABYTE）B365/B460主板1151针/1200台式机电脑电竞游戏主板B460MGAMINGHD台式机电脑主板,71811000829,1.2kg,,,M-ATX（紧凑型）,,灵竞DIY旗舰店,1个,RGB,INTELLGA1200,3年以上质保,不支持PCIE4.0,,不支持,SATA接口,优选系列,无,其他,DDR4,其他,DDR42400；DDR42666；DDR42800；DDR43000；DDR43200,64GB,1个,1个,1个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,技嘉GIGABYTE,B365/B460系列,,24+8,最终幻想13，看门狗，吃鸡游戏，极品飞车,,,,,0个,,,,,,,,,,技嘉UD耐久,,0组,,,,0组,,,,,,
130,AMDR5/R736005600X5800X散片搭微星B450B550CPU主板套装微星B450MMORTARMAXAMDRyzen53600散片,10022923230468,2.0kg,,B450,M-ATX（紧凑型）,锐龙5,微星电脑硬件旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2kg,200,,,
131,英特尔i510400F/11400F/11600KF搭华硕B460M\/560M吹雪CPU主板套装PRIMEB560M-K【10代】i510400F6核12线程,10033591355555,1.5kg,中国大陆,B560,ATX（标准型）,Inteli5,图迈DIY电脑专营店,,,,,,,,,,,,,,,,,,,INTELLGA1200，INTELLGA2066，INTEL2011V3，INTEL1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15kg,24*24,,,
132,微星（MSI）Z490M\/B460M\/B560M系列游戏电脑主板支持10代intelCPUZ490GAMINGPLUS电竞板全国联保,69030077957,2.1kg,,,M-ATX（紧凑型）,,奥都数码专营店,1个,RGB,INTELLGA1200,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42200；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR42133；DDR44000及以上,128GB,2个,2个,3个,INTELLGA1200,是集成显卡,其他,Intel平台,,Z490,,24+12,英雄联盟，吃鸡游戏，DOTA2，武装突袭3,,6个,,,2个,支持第十代英特尔?酷睿?处理器,,,,2个,,,1个,,微星GAMING,,,,,,,RealtekALC892,,,,,
133,技嘉（GIGABYTE）B365/B460主板1151针/1200台式机电脑电竞游戏主板B460MGAMINGHD台式机电脑主板,71811000829,1.2kg,,,M-ATX（紧凑型）,,灵竞DIY旗舰店,1个,RGB,INTELLGA1200,3年以上质保,不支持PCIE4.0,,不支持,SATA接口,优选系列,无,其他,DDR4,其他,DDR42400；DDR42666；DDR42800；DDR43000；DDR43200,64GB,1个,1个,1个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,技嘉GIGABYTE,B365/B460系列,,24+8,最终幻想13，看门狗，吃鸡游戏，极品飞车,,,,,0个,,,,,,,,,,技嘉UD耐久,,0组,,,,0组,,,,,,
134,华硕（ASUS）PRIMEB460M大师系列电竞游戏主板支持I510400PRIMEB460M-K,69844100947,0.8kg,,,M-ATX（紧凑型）,,华硕(ASUS)华之硕专卖店,1个,不是RGB,INTELLGA1200,3年质保,不支持PCIE4.0,B460,不支持WiFi,M.2接口(NVMe协议),家用/办公,无,7.1声道,DDR4,其他,DDR42133；DDR42400；DDR42666；DDR42800,64GB,0个,1个,2个,INTEL其他,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,PRIMEB460M,22.6x21.1cm,24+8,,其他,6个,RAID0，RAID1，RAID5，RAID10,,,,,,,,,,,,,,,,,,,RealtekALC887,,,,,
135,AMD锐龙R5/R75600G5600X5800x5700G搭技嘉B550主板CPU套装技嘉B550MAORUSELITEAMDRyzen55600X盒装,67881935846,2.0kg,中国大陆,B550,M-ATX（紧凑型）,其他,灵竞DIY旗舰店,,,,,,,,,,,,,,,,,,,AMDAM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5kg,30.5公分x24.4公分,,,
136,英特尔i711700/11900K十一代搭华硕B560/Z490/Z590CPU主板套装游戏套装PRIMEZ590-P性价超频大板(11代)i711700K8核16线程/核显,10028639002976,3.0kg,中国大陆,Z490,M-ATX（紧凑型）,Inteli7,嘉合数码专营店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3kg,244,,,
137,华硕（ASUS）PRIMEB460M大师系列电竞游戏主板支持I510400PRIMEB460M-K,69844100947,0.8kg,,,M-ATX（紧凑型）,,华硕(ASUS)华之硕专卖店,1个,不是RGB,INTELLGA1200,3年质保,不支持PCIE4.0,B460,不支持WiFi,M.2接口(NVMe协议),家用/办公,无,7.1声道,DDR4,其他,DDR42133；DDR42400；DDR42666；DDR42800,64GB,0个,1个,2个,INTEL其他,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,PRIMEB460M,22.6x21.1cm,24+8,,其他,6个,RAID0，RAID1，RAID5，RAID10,,,,,,,,,,,,,,,,,,,RealtekALC887,,,,,
138,华硕（ASUS）PRIMEB460M大师系列电竞游戏主板支持I510400PRIMEB460M-K,69844100947,0.8kg,,,M-ATX（紧凑型）,,华硕(ASUS)华之硕专卖店,1个,不是RGB,INTELLGA1200,3年质保,不支持PCIE4.0,B460,不支持WiFi,M.2接口(NVMe协议),家用/办公,无,7.1声道,DDR4,其他,DDR42133；DDR42400；DDR42666；DDR42800,64GB,0个,1个,2个,INTEL其他,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,PRIMEB460M,22.6x21.1cm,24+8,,其他,6个,RAID0，RAID1，RAID5，RAID10,,,,,,,,,,,,,,,,,,,RealtekALC887,,,,,
